Hostname,URL,Title,Visit Time,Visit Count,Visited From,Visit Type,Web Browser,User Profile,Browser Profile,URL Length,Typed Count
INBANL-PC0EAQF5,about:blank,,10/4/2017 17:08,28,,,Internet Explorer 10/11 / Edge,dharanidharanss,,11,
INBANL-PC0EAQF5,about:blank,,10/10/2017 9:26,1161,,,Internet Explorer 10/11 / Edge,dharanidharanss,,11,
INBANL-PC0EAQF5,file:///C:/Users/dharanidharanss,,10/10/2017 10:22,1,,,Internet Explorer 10/11 / Edge,dharanidharanss,,25,
INBANL-PC0EAQF5,file:///C:/Users/dharanidharanss/Desktop,,10/10/2017 10:21,1,,,Internet Explorer 10/11 / Edge,dharanidharanss,,33,
INBANL-PC0EAQF5,file:///C:/Users/dharanidharanss/Desktop/amplitude_users%20(1).csv,,10/2/2017 20:51,3,,,Internet Explorer 10/11 / Edge,dharanidharanss,,59,
INBANL-PC0EAQF5,file:///C:/Users/dharanidharanss/Desktop/amplitude_users.csv,,10/2/2017 19:24,1,,,Internet Explorer 10/11 / Edge,dharanidharanss,,53,
INBANL-PC0EAQF5,file:///C:/Users/dharanidharanss/Desktop/Budget.txt,,10/4/2017 10:01,8,,,Internet Explorer 10/11 / Edge,dharanidharanss,,44,
INBANL-PC0EAQF5,file:///C:/Users/dharanidharanss/Desktop/Capture.PNG,,10/5/2017 19:08,2,,,Internet Explorer 10/11 / Edge,dharanidharanss,,45,
INBANL-PC0EAQF5,file:///C:/Users/dharanidharanss/Desktop/CISO-Tips-Balancing-the-hero-with-the-storyteller.pdf,,10/4/2017 15:47,1,,,Internet Explorer 10/11 / Edge,dharanidharanss,,87,
INBANL-PC0EAQF5,file:///C:/Users/dharanidharanss/Desktop/CISO-Tips-Speaking-the-Language-of-Business.pdf,,10/4/2017 17:17,2,,,Internet Explorer 10/11 / Edge,dharanidharanss,,81,
INBANL-PC0EAQF5,file:///C:/Users/dharanidharanss/Desktop/CLS/CLS.txt,,10/5/2017 10:46,2,,,Internet Explorer 10/11 / Edge,dharanidharanss,,45,
INBANL-PC0EAQF5,file:///C:/Users/dharanidharanss/Desktop/EDR.JPG,,10/6/2017 15:31,3,,,Internet Explorer 10/11 / Edge,dharanidharanss,,41,
INBANL-PC0EAQF5,file:///C:/Users/dharanidharanss/Desktop/EDRmarketrevenuerunrate.gif,,10/6/2017 17:28,4,,,Internet Explorer 10/11 / Edge,dharanidharanss,,61,
INBANL-PC0EAQF5,file:///C:/Users/dharanidharanss/Desktop/Emerging_model.JPG,,10/6/2017 17:30,4,,,Internet Explorer 10/11 / Edge,dharanidharanss,,52,
INBANL-PC0EAQF5,file:///C:/Users/dharanidharanss/Desktop/Garuda%20to%20VM(CIRCUIT)/Garuda%20Documentation.docx,,10/9/2017 11:34,2,,,Internet Explorer 10/11 / Edge,dharanidharanss,,87,
INBANL-PC0EAQF5,file:///C:/Users/dharanidharanss/Desktop/innovation.txt,,10/8/2017 11:32,1,,,Internet Explorer 10/11 / Edge,dharanidharanss,,48,
INBANL-PC0EAQF5,file:///C:/Users/dharanidharanss/Desktop/Lean%20Canvas%20Template.pptx,,10/7/2017 21:47,4,,,Internet Explorer 10/11 / Edge,dharanidharanss,,63,
INBANL-PC0EAQF5,file:///C:/Users/dharanidharanss/Desktop/lnk.csv,,10/10/2017 10:46,1,,,Internet Explorer 10/11 / Edge,dharanidharanss,,41,
