Hostname,Protocol,Local Address,Foreign Address,State,Process ID 
INBANL-PC0EAQF5,TCP,0.0.0.0:135,0.0.0.0:0,LISTENING,976
INBANL-PC0EAQF5,TCP,0.0.0.0:445,0.0.0.0:0,LISTENING,4
INBANL-PC0EAQF5,TCP,0.0.0.0:2701,0.0.0.0:0,LISTENING,7728
INBANL-PC0EAQF5,TCP,0.0.0.0:3389,0.0.0.0:0,LISTENING,864
INBANL-PC0EAQF5,TCP,0.0.0.0:49664,0.0.0.0:0,LISTENING,620
INBANL-PC0EAQF5,TCP,0.0.0.0:49665,0.0.0.0:0,LISTENING,532
INBANL-PC0EAQF5,TCP,0.0.0.0:49666,0.0.0.0:0,LISTENING,1128
INBANL-PC0EAQF5,TCP,0.0.0.0:49667,0.0.0.0:0,LISTENING,2368
INBANL-PC0EAQF5,TCP,0.0.0.0:49668,0.0.0.0:0,LISTENING,788
INBANL-PC0EAQF5,TCP,0.0.0.0:49669,0.0.0.0:0,LISTENING,760
INBANL-PC0EAQF5,TCP,0.0.0.0:49672,0.0.0.0:0,LISTENING,788
INBANL-PC0EAQF5,TCP,10.227.156.55:139,0.0.0.0:0,LISTENING,4
INBANL-PC0EAQF5,TCP,10.227.156.55:57304,192.241.189.82:443,ESTABLISHED,11496
INBANL-PC0EAQF5,TCP,10.227.156.55:57991,40.100.140.130:443,ESTABLISHED,2652
INBANL-PC0EAQF5,TCP,10.227.156.55:58076,111.221.29.75:443,TIME_WAIT,0
INBANL-PC0EAQF5,TCP,10.227.156.55:58095,40.100.136.18:443,TIME_WAIT,0
INBANL-PC0EAQF5,TCP,10.227.156.55:58106,192.168.130.74:443,TIME_WAIT,0
INBANL-PC0EAQF5,TCP,10.227.156.55:58114,68.64.5.249:443,TIME_WAIT,0
INBANL-PC0EAQF5,TCP,10.227.156.55:58115,54.208.199.64:443,TIME_WAIT,0
INBANL-PC0EAQF5,TCP,10.227.156.55:58116,172.217.26.196:443,TIME_WAIT,0
INBANL-PC0EAQF5,TCP,10.227.156.55:58122,216.115.208.230:8200,TIME_WAIT,0
INBANL-PC0EAQF5,TCP,10.227.156.55:58124,216.115.208.230:443,TIME_WAIT,0
INBANL-PC0EAQF5,TCP,10.227.156.55:58125,216.115.208.230:8200,TIME_WAIT,0
INBANL-PC0EAQF5,TCP,10.227.156.55:58127,40.100.145.146:443,TIME_WAIT,0
INBANL-PC0EAQF5,TCP,10.227.156.55:58128,40.100.145.146:443,TIME_WAIT,0
INBANL-PC0EAQF5,TCP,10.227.156.55:58129,40.100.145.146:443,TIME_WAIT,0
INBANL-PC0EAQF5,TCP,10.227.156.55:58130,40.100.145.146:443,TIME_WAIT,0
INBANL-PC0EAQF5,TCP,10.227.156.55:58131,10.3.130.219:2125,ESTABLISHED,2504
INBANL-PC0EAQF5,TCP,10.227.156.55:58133,111.221.29.75:443,ESTABLISHED,7752
INBANL-PC0EAQF5,TCP,10.227.156.55:58134,111.221.29.174:443,TIME_WAIT,0
INBANL-PC0EAQF5,TCP,10.227.156.55:58135,40.100.145.146:443,ESTABLISHED,2652
INBANL-PC0EAQF5,TCP,10.227.156.55:58137,40.100.145.146:443,TIME_WAIT,0
INBANL-PC0EAQF5,TCP,10.227.156.55:58138,40.100.145.146:443,TIME_WAIT,0
INBANL-PC0EAQF5,TCP,10.227.156.55:58140,52.222.140.136:443,TIME_WAIT,0
INBANL-PC0EAQF5,TCP,10.227.156.55:58141,172.217.26.196:443,TIME_WAIT,0
INBANL-PC0EAQF5,TCP,10.227.156.55:58142,40.100.145.146:443,ESTABLISHED,2652
INBANL-PC0EAQF5,TCP,10.227.156.55:58143,54.153.171.151:443,ESTABLISHED,8496
INBANL-PC0EAQF5,TCP,10.227.156.55:58144,172.217.26.196:443,TIME_WAIT,0
INBANL-PC0EAQF5,TCP,10.227.156.55:58145,13.67.53.38:443,TIME_WAIT,0
INBANL-PC0EAQF5,TCP,10.227.156.55:58146,52.222.140.136:443,ESTABLISHED,9196
INBANL-PC0EAQF5,TCP,10.227.156.55:58147,52.222.140.136:443,ESTABLISHED,9196
INBANL-PC0EAQF5,TCP,10.227.156.55:58149,151.101.8.102:443,ESTABLISHED,9196
INBANL-PC0EAQF5,TCP,10.227.156.55:58150,151.101.8.102:443,ESTABLISHED,9196
INBANL-PC0EAQF5,TCP,10.227.156.55:58151,151.101.8.102:443,ESTABLISHED,9196
INBANL-PC0EAQF5,TCP,10.227.156.55:58152,151.101.8.102:443,ESTABLISHED,9196
INBANL-PC0EAQF5,TCP,10.227.156.55:58153,151.101.8.102:443,ESTABLISHED,9196
INBANL-PC0EAQF5,TCP,10.227.156.55:58154,151.101.8.102:443,ESTABLISHED,9196
INBANL-PC0EAQF5,TCP,10.227.156.55:58156,204.79.197.200:443,ESTABLISHED,8620
INBANL-PC0EAQF5,TCP,10.227.156.55:58157,52.222.140.136:443,TIME_WAIT,0
INBANL-PC0EAQF5,TCP,10.227.156.55:58158,52.222.134.129:443,TIME_WAIT,0
INBANL-PC0EAQF5,TCP,10.227.156.55:58166,192.168.130.74:443,ESTABLISHED,11496
INBANL-PC0EAQF5,TCP,10.227.156.55:64906,10.227.145.82:65460,ESTABLISHED,2368
INBANL-PC0EAQF5,TCP,10.227.156.55:64952,192.168.110.76:10123,ESTABLISHED,4336
INBANL-PC0EAQF5,TCP,127.0.0.1:56082,0.0.0.0:0,LISTENING,5648
INBANL-PC0EAQF5,TCP,127.0.0.1:56104,127.0.0.1:62522,ESTABLISHED,10540
