Hostname,Protocol,Local Address,Foreign Address,State,Process ID 
INBANL-PC0EX5K3,TCP,0.0.0.0:135,0.0.0.0:0,LISTENING,932
INBANL-PC0EX5K3,TCP,0.0.0.0:443,0.0.0.0:0,LISTENING,4916
INBANL-PC0EX5K3,TCP,0.0.0.0:445,0.0.0.0:0,LISTENING,4
INBANL-PC0EX5K3,TCP,0.0.0.0:902,0.0.0.0:0,LISTENING,3248
INBANL-PC0EX5K3,TCP,0.0.0.0:912,0.0.0.0:0,LISTENING,3248
INBANL-PC0EX5K3,TCP,0.0.0.0:1536,0.0.0.0:0,LISTENING,688
INBANL-PC0EX5K3,TCP,0.0.0.0:1537,0.0.0.0:0,LISTENING,832
INBANL-PC0EX5K3,TCP,0.0.0.0:1538,0.0.0.0:0,LISTENING,1084
INBANL-PC0EX5K3,TCP,0.0.0.0:1539,0.0.0.0:0,LISTENING,768
INBANL-PC0EX5K3,TCP,0.0.0.0:1540,0.0.0.0:0,LISTENING,2524
INBANL-PC0EX5K3,TCP,0.0.0.0:1541,0.0.0.0:0,LISTENING,768
INBANL-PC0EX5K3,TCP,0.0.0.0:1586,0.0.0.0:0,LISTENING,760
INBANL-PC0EX5K3,TCP,0.0.0.0:2701,0.0.0.0:0,LISTENING,8340
INBANL-PC0EX5K3,TCP,0.0.0.0:3389,0.0.0.0:0,LISTENING,824
INBANL-PC0EX5K3,TCP,127.0.0.1:1068,0.0.0.0:0,LISTENING,5840
INBANL-PC0EX5K3,TCP,127.0.0.1:1081,127.0.0.1:62522,ESTABLISHED,9308
INBANL-PC0EX5K3,TCP,127.0.0.1:7580,127.0.0.1:7581,ESTABLISHED,8228
INBANL-PC0EX5K3,TCP,127.0.0.1:7581,127.0.0.1:7580,ESTABLISHED,8228
INBANL-PC0EX5K3,TCP,127.0.0.1:7587,127.0.0.1:7588,ESTABLISHED,8428
INBANL-PC0EX5K3,TCP,127.0.0.1:7588,127.0.0.1:7587,ESTABLISHED,8428
INBANL-PC0EX5K3,TCP,127.0.0.1:8307,0.0.0.0:0,LISTENING,4916
INBANL-PC0EX5K3,TCP,127.0.0.1:62522,0.0.0.0:0,LISTENING,2280
INBANL-PC0EX5K3,TCP,127.0.0.1:62522,127.0.0.1:1081,ESTABLISHED,2280
INBANL-PC0EX5K3,TCP,192.168.0.3:139,0.0.0.0:0,LISTENING,4
INBANL-PC0EX5K3,TCP,192.168.0.3:7501,111.221.29.120:443,ESTABLISHED,11932
INBANL-PC0EX5K3,TCP,192.168.0.3:7520,173.199.2.40:443,ESTABLISHED,10456
INBANL-PC0EX5K3,TCP,192.168.0.3:7522,34.202.185.106:443,ESTABLISHED,10456
INBANL-PC0EX5K3,TCP,192.168.0.3:7528,13.229.96.243:443,ESTABLISHED,6392
INBANL-PC0EX5K3,TCP,192.168.0.3:7529,216.115.208.230:443,ESTABLISHED,8228
INBANL-PC0EX5K3,TCP,192.168.0.3:7550,173.199.2.37:443,ESTABLISHED,8228
INBANL-PC0EX5K3,TCP,192.168.0.3:7551,184.172.14.59:80,ESTABLISHED,3388
INBANL-PC0EX5K3,TCP,192.168.0.3:7570,68.64.14.193:443,ESTABLISHED,10456
INBANL-PC0EX5K3,TCP,192.168.0.3:7573,52.222.129.251:443,CLOSE_WAIT,8228
INBANL-PC0EX5K3,TCP,192.168.0.3:7574,52.222.129.251:443,CLOSE_WAIT,8228
INBANL-PC0EX5K3,TCP,192.168.0.3:7575,68.64.14.192:443,ESTABLISHED,8228
INBANL-PC0EX5K3,TCP,192.168.0.3:7576,202.173.27.63:443,ESTABLISHED,8228
INBANL-PC0EX5K3,TCP,192.168.0.3:7577,202.173.27.63:443,ESTABLISHED,8228
INBANL-PC0EX5K3,TCP,192.168.0.3:7578,202.173.27.61:443,ESTABLISHED,8228
INBANL-PC0EX5K3,TCP,192.168.0.3:7579,202.173.28.43:443,ESTABLISHED,8228
INBANL-PC0EX5K3,TCP,192.168.0.3:7582,52.222.128.48:443,CLOSE_WAIT,8228
INBANL-PC0EX5K3,TCP,192.168.0.3:7583,68.64.22.20:443,ESTABLISHED,8228
INBANL-PC0EX5K3,TCP,192.168.0.3:33776,192.241.183.132:443,ESTABLISHED,9516
INBANL-PC0EX5K3,TCP,192.168.0.3:33778,52.86.243.173:443,ESTABLISHED,9516
INBANL-PC0EX5K3,TCP,192.168.0.3:33779,52.86.243.173:443,ESTABLISHED,9516
INBANL-PC0EX5K3,TCP,192.168.0.3:33780,52.86.243.173:443,ESTABLISHED,9516
INBANL-PC0EX5K3,TCP,192.168.0.3:33781,52.222.140.71:443,ESTABLISHED,6392
INBANL-PC0EX5K3,TCP,192.168.31.1:139,0.0.0.0:0,LISTENING,4
INBANL-PC0EX5K3,TCP,192.168.231.1:139,0.0.0.0:0,LISTENING,4
INBANL-PC0EX5K3,TCP,[::]:135,[::]:0,LISTENING,932
INBANL-PC0EX5K3,TCP,[::]:443,[::]:0,LISTENING,4916
INBANL-PC0EX5K3,TCP,[::]:445,[::]:0,LISTENING,4
INBANL-PC0EX5K3,TCP,[::]:1536,[::]:0,LISTENING,688
INBANL-PC0EX5K3,TCP,[::]:1537,[::]:0,LISTENING,832
INBANL-PC0EX5K3,TCP,[::]:1538,[::]:0,LISTENING,1084
INBANL-PC0EX5K3,TCP,[::]:1539,[::]:0,LISTENING,768
INBANL-PC0EX5K3,TCP,[::]:1540,[::]:0,LISTENING,2524
INBANL-PC0EX5K3,TCP,[::]:1541,[::]:0,LISTENING,768
INBANL-PC0EX5K3,TCP,[::]:1586,[::]:0,LISTENING,760
INBANL-PC0EX5K3,TCP,[::]:2701,[::]:0,LISTENING,8340
INBANL-PC0EX5K3,TCP,[::]:3389,[::]:0,LISTENING,824
INBANL-PC0EX5K3,TCP,[::1]:8307,[::]:0,LISTENING,4916
