Hostname,ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed
INBANL-PC0EX5K3,1,0,C:\WINDOWS\CCM\CCMDump.exe,2/27/2017 23:30,NA
INBANL-PC0EX5K3,1,1,C:\Program Files\Wireshark\vcredist_x64.exe,8/26/2016 6:43,NA
INBANL-PC0EX5K3,1,2,C:\Users\vigneshb\AppData\Local\Temp\Wireshark_uninstaller.exe,6/1/2017 19:31,NA
INBANL-PC0EX5K3,1,3,C:\Users\vigneshb\AppData\Local\Temp\Update-7bc08042-60f0-4cfa-b8a4-df4013ec8569\Wireshark-win64-2.4.1.exe,9/22/2017 6:25,NA
INBANL-PC0EX5K3,1,4,C:\Program Files\Wireshark\dumpcap.exe,8/29/2017 18:31,NA
INBANL-PC0EX5K3,1,5,C:\Program Files\Wireshark\Wireshark.exe,8/29/2017 18:32,NA
INBANL-PC0EX5K3,1,6,C:\Program Files (x86)\Mozilla Maintenance Service\maintenanceservice_tmp.exe,9/22/2017 6:09,NA
INBANL-PC0EX5K3,1,7,C:\Program Files (x86)\Mozilla Firefox\uninstall\helper.exe,9/22/2017 6:08,NA
INBANL-PC0EX5K3,1,8,C:\Program Files (x86)\Mozilla Maintenance Service\update\updater.exe,9/22/2017 6:08,NA
INBANL-PC0EX5K3,1,9,C:\Program Files (x86)\Mozilla Maintenance Service\maintenanceservice.exe,9/22/2017 6:09,NA
INBANL-PC0EX5K3,1,10,C:\Program Files (x86)\Mozilla Firefox\updater.exe,9/22/2017 6:08,NA
INBANL-PC0EX5K3,1,11,C:\Program Files (x86)\Mozilla Firefox\firefox.exe,9/22/2017 6:09,NA
INBANL-PC0EX5K3,1,12,C:\Users\vigneshb\AppData\Local\gotomeetingmessenger\app-2.5.1\GoToMeeting Messenger.exe,9/22/2017 6:06,NA
INBANL-PC0EX5K3,1,13,C:\Program Files\BurpSuiteFree\jre\bin\awt.dll,9/22/2017 5:54,NA
INBANL-PC0EX5K3,1,14,c:\PROGRA~1\BURPSU~1\jre\bin\java.exe,9/22/2017 5:54,NA
INBANL-PC0EX5K3,1,15,c:\Program Files\BurpSuiteFree\jre\bin\java.exe,9/22/2017 5:54,NA
INBANL-PC0EX5K3,1,16,C:\Program Files\BurpSuiteFree\BurpSuiteFree.exe,8/31/2017 9:41,NA
INBANL-PC0EX5K3,1,17,C:\Program Files\BurpSuiteFree\jre\bin\javaw.exe,9/22/2017 5:54,NA
