Hostname,Image Name,PID,Session Name,Session#,Mem Usage,Status,User Name,CPU Time,Window Title
INBANL-PC0EX5K3,System Idle Process,0,Services,0,4 K,Unknown,NT AUTHORITY\SYSTEM,208:48:23,N/A
INBANL-PC0EX5K3,System,4,Services,0,"8,488 K",Unknown,N/A,1:53:19,N/A
INBANL-PC0EX5K3,smss.exe,416,Services,0,528 K,Unknown,NT AUTHORITY\SYSTEM,0:00:00,N/A
INBANL-PC0EX5K3,csrss.exe,580,Services,0,"4,028 K",Unknown,NT AUTHORITY\SYSTEM,0:01:37,N/A
INBANL-PC0EX5K3,wininit.exe,688,Services,0,"3,180 K",Unknown,NT AUTHORITY\SYSTEM,0:00:00,N/A
INBANL-PC0EX5K3,services.exe,760,Services,0,"9,552 K",Unknown,NT AUTHORITY\SYSTEM,0:33:15,N/A
INBANL-PC0EX5K3,lsass.exe,768,Services,0,"17,020 K",Unknown,NT AUTHORITY\SYSTEM,0:01:13,N/A
INBANL-PC0EX5K3,svchost.exe,868,Services,0,"18,472 K",Unknown,NT AUTHORITY\SYSTEM,0:02:29,N/A
INBANL-PC0EX5K3,svchost.exe,932,Services,0,"10,160 K",Unknown,NT AUTHORITY\NETWORK SERVICE,0:01:14,N/A
INBANL-PC0EX5K3,svchost.exe,832,Services,0,"112,980 K",Unknown,NT AUTHORITY\SYSTEM,0:12:39,N/A
INBANL-PC0EX5K3,svchost.exe,548,Services,0,"147,888 K",Unknown,NT AUTHORITY\SYSTEM,0:32:27,N/A
INBANL-PC0EX5K3,svchost.exe,824,Services,0,"22,044 K",Unknown,NT AUTHORITY\NETWORK SERVICE,0:03:41,N/A
INBANL-PC0EX5K3,svchost.exe,1084,Services,0,"22,564 K",Unknown,NT AUTHORITY\LOCAL SERVICE,0:01:56,N/A
INBANL-PC0EX5K3,svchost.exe,1092,Services,0,"27,224 K",Unknown,NT AUTHORITY\LOCAL SERVICE,0:00:39,N/A
INBANL-PC0EX5K3,svchost.exe,1240,Services,0,"25,756 K",Unknown,NT AUTHORITY\LOCAL SERVICE,0:02:19,N/A
INBANL-PC0EX5K3,WUDFHost.exe,1256,Services,0,"5,212 K",Unknown,NT AUTHORITY\LOCAL SERVICE,0:00:00,N/A
INBANL-PC0EX5K3,ibmpmsvc.exe,1612,Services,0,"2,064 K",Unknown,NT AUTHORITY\SYSTEM,0:00:00,N/A
INBANL-PC0EX5K3,LPlatSvc.exe,1620,Services,0,"4,192 K",Unknown,NT AUTHORITY\SYSTEM,0:00:01,N/A
INBANL-PC0EX5K3,igfxCUIService.exe,1920,Services,0,"5,264 K",Unknown,NT AUTHORITY\SYSTEM,0:00:01,N/A
INBANL-PC0EX5K3,svchost.exe,1324,Services,0,"7,084 K",Unknown,NT AUTHORITY\LOCAL SERVICE,0:00:10,N/A
INBANL-PC0EX5K3,svchost.exe,2240,Services,0,"6,220 K",Unknown,NT AUTHORITY\LOCAL SERVICE,0:00:04,N/A
INBANL-PC0EX5K3,vpnagent.exe,2280,Services,0,"11,916 K",Unknown,NT AUTHORITY\SYSTEM,0:00:07,N/A
INBANL-PC0EX5K3,svchost.exe,2372,Services,0,"12,796 K",Unknown,NT AUTHORITY\SYSTEM,0:00:48,N/A
INBANL-PC0EX5K3,spoolsv.exe,2524,Services,0,"14,800 K",Unknown,NT AUTHORITY\SYSTEM,0:00:12,N/A
INBANL-PC0EX5K3,OfficeClickToRun.exe,2640,Services,0,"35,468 K",Unknown,NT AUTHORITY\SYSTEM,0:00:15,N/A
INBANL-PC0EX5K3,cyserver.exe,2656,Services,0,"3,076 K",Unknown,NT AUTHORITY\SYSTEM,0:07:02,N/A
INBANL-PC0EX5K3,DolbyDAX2API.exe,2664,Services,0,"13,608 K",Unknown,NT AUTHORITY\SYSTEM,0:00:01,N/A
INBANL-PC0EX5K3,CyveraService.exe,2676,Services,0,"46,432 K",Unknown,NT AUTHORITY\SYSTEM,0:03:30,N/A
INBANL-PC0EX5K3,svchost.exe,2684,Services,0,"12,720 K",Unknown,NT AUTHORITY\SYSTEM,0:00:25,N/A
INBANL-PC0EX5K3,ibtsiva.exe,2692,Services,0,"2,156 K",Unknown,NT AUTHORITY\SYSTEM,0:00:00,N/A
INBANL-PC0EX5K3,LMIGuardianSvc.exe,2740,Services,0,"2,304 K",Unknown,NT AUTHORITY\SYSTEM,0:00:00,N/A
INBANL-PC0EX5K3,NVDisplay.Container.exe,2824,Services,0,"10,484 K",Unknown,NT AUTHORITY\SYSTEM,0:30:23,N/A
INBANL-PC0EX5K3,OcsService.exe,2832,Services,0,"4,212 K",Unknown,NT AUTHORITY\SYSTEM,0:00:44,N/A
INBANL-PC0EX5K3,ServiceLayer.exe,2996,Services,0,"21,692 K",Unknown,NT AUTHORITY\SYSTEM,0:00:05,N/A
INBANL-PC0EX5K3,svchost.exe,2128,Services,0,"16,768 K",Unknown,NT AUTHORITY\SYSTEM,0:00:17,N/A
INBANL-PC0EX5K3,vmware-usbarbitrator64.exe,2304,Services,0,"3,424 K",Unknown,NT AUTHORITY\SYSTEM,0:00:01,N/A
INBANL-PC0EX5K3,svchost.exe,2396,Services,0,"5,140 K",Unknown,NT AUTHORITY\LOCAL SERVICE,0:00:02,N/A
INBANL-PC0EX5K3,MsMpEng.exe,3116,Services,0,"23,180 K",Unknown,NT AUTHORITY\SYSTEM,0:00:21,N/A
INBANL-PC0EX5K3,vmnat.exe,3180,Services,0,"2,908 K",Unknown,NT AUTHORITY\SYSTEM,0:00:01,N/A
INBANL-PC0EX5K3,SynTPEnhService.exe,3188,Services,0,"2,660 K",Unknown,NT AUTHORITY\SYSTEM,0:00:00,N/A
INBANL-PC0EX5K3,tlaservice.exe,3220,Services,0,"65,380 K",Unknown,NT AUTHORITY\SYSTEM,0:04:46,N/A
INBANL-PC0EX5K3,vmnetdhcp.exe,3232,Services,0,"1,300 K",Unknown,NT AUTHORITY\SYSTEM,0:00:01,N/A
INBANL-PC0EX5K3,vmware-authd.exe,3248,Services,0,"6,348 K",Unknown,NT AUTHORITY\SYSTEM,0:01:16,N/A
INBANL-PC0EX5K3,Memory Compression,3288,Services,0,"31,760 K",Unknown,NT AUTHORITY\SYSTEM,0:00:01,N/A
INBANL-PC0EX5K3,vf_agent.exe,3388,Services,0,"32,256 K",Unknown,NT AUTHORITY\SYSTEM,0:07:42,N/A
INBANL-PC0EX5K3,valWbioSyncSvc.exe,3408,Services,0,"8,344 K",Unknown,NT AUTHORITY\SYSTEM,0:00:02,N/A
INBANL-PC0EX5K3,valWBFPolicyService.exe,3420,Services,0,"1,292 K",Unknown,NT AUTHORITY\SYSTEM,0:00:00,N/A
INBANL-PC0EX5K3,tlaworker.exe,4004,Services,0,"2,060 K",Unknown,NT AUTHORITY\SYSTEM,0:00:02,N/A
INBANL-PC0EX5K3,tlaworker.exe,4012,Services,0,"2,024 K",Unknown,NT AUTHORITY\SYSTEM,0:00:02,N/A
INBANL-PC0EX5K3,svchost.exe,4024,Services,0,"4,344 K",Unknown,NT AUTHORITY\NETWORK SERVICE,0:00:07,N/A
INBANL-PC0EX5K3,tlaworker.exe,4052,Services,0,"2,060 K",Unknown,NT AUTHORITY\SYSTEM,0:00:01,N/A
INBANL-PC0EX5K3,tlaworker.exe,4064,Services,0,"2,044 K",Unknown,NT AUTHORITY\SYSTEM,0:00:01,N/A
INBANL-PC0EX5K3,WmiPrvSE.exe,4144,Services,0,"33,368 K",Unknown,NT AUTHORITY\NETWORK SERVICE,0:21:56,N/A
INBANL-PC0EX5K3,WmiPrvSE.exe,4236,Services,0,"15,196 K",Unknown,NT AUTHORITY\SYSTEM,0:00:19,N/A
INBANL-PC0EX5K3,vmware-hostd.exe,4916,Services,0,"32,768 K",Unknown,NT AUTHORITY\SYSTEM,0:00:40,N/A
INBANL-PC0EX5K3,MsDtsSrvr.exe,4496,Services,0,"5,908 K",Unknown,NT SERVICE\MsDtsServer120,0:00:00,N/A
INBANL-PC0EX5K3,svchost.exe,4316,Services,0,"5,708 K",Unknown,NT AUTHORITY\LOCAL SERVICE,0:00:18,N/A
INBANL-PC0EX5K3,PresentationFontCache.exe,6104,Services,0,"6,460 K",Unknown,NT AUTHORITY\LOCAL SERVICE,0:00:00,N/A
INBANL-PC0EX5K3,CcmExec.exe,5540,Services,0,"64,772 K",Unknown,NT AUTHORITY\SYSTEM,0:05:45,N/A
INBANL-PC0EX5K3,CmRcService.exe,8340,Services,0,"4,040 K",Unknown,NT AUTHORITY\SYSTEM,0:00:01,N/A
INBANL-PC0EX5K3,WmiPrvSE.exe,8420,Services,0,"10,248 K",Unknown,NT AUTHORITY\SYSTEM,0:00:07,N/A
INBANL-PC0EX5K3,WmiPrvSE.exe,5568,Services,0,"9,240 K",Unknown,NT AUTHORITY\LOCAL SERVICE,0:00:06,N/A
INBANL-PC0EX5K3,WmiPrvSE.exe,8648,Services,0,"4,832 K",Unknown,NT AUTHORITY\LOCAL SERVICE,0:00:01,N/A
INBANL-PC0EX5K3,csrss.exe,10912,Console,2,"9,512 K",Running,NT AUTHORITY\SYSTEM,0:00:29,N/A
INBANL-PC0EX5K3,winlogon.exe,11608,Console,2,"7,940 K",Unknown,NT AUTHORITY\SYSTEM,0:00:04,N/A
INBANL-PC0EX5K3,dwm.exe,6516,Console,2,"65,488 K",Running,Window Manager\DWM-2,0:03:41,DWM Notification Window
INBANL-PC0EX5K3,nvxdsync.exe,2248,Console,2,"25,300 K",Running,NT AUTHORITY\SYSTEM,0:00:02,UxdService
INBANL-PC0EX5K3,SynTPEnh.exe,7540,Console,2,"22,424 K",Running,3AMLABS\vigneshb,0:04:01,Forcepad driver tray window
INBANL-PC0EX5K3,SensorDBSynch.exe,11464,Console,2,"3,812 K",Unknown,3AMLABS\vigneshb,0:00:00,N/A
INBANL-PC0EX5K3,conhost.exe,2208,Console,2,"7,808 K",Unknown,3AMLABS\vigneshb,0:00:00,N/A
INBANL-PC0EX5K3,sihost.exe,7256,Console,2,"23,972 K",Not Responding,3AMLABS\vigneshb,0:00:14,N/A
INBANL-PC0EX5K3,svchost.exe,5320,Console,2,"21,784 K",Unknown,3AMLABS\vigneshb,0:00:01,N/A
INBANL-PC0EX5K3,SynTPLpr.exe,11372,Console,2,"7,348 K",Running,3AMLABS\vigneshb,0:00:00,Touchpad driver helper window
INBANL-PC0EX5K3,taskhostw.exe,8132,Console,2,"21,172 K",Running,3AMLABS\vigneshb,0:00:07,Task Host Window
INBANL-PC0EX5K3,SynLenovoHelper.exe,7100,Console,2,"8,476 K",Running,3AMLABS\vigneshb,0:00:00,TouchPad object helper window
INBANL-PC0EX5K3,RuntimeBroker.exe,9620,Console,2,"54,376 K",Running,3AMLABS\vigneshb,0:01:21,N/A
INBANL-PC0EX5K3,SynTPHelper.exe,7188,Console,2,"4,860 K",Running,3AMLABS\vigneshb,0:00:00,N/A
INBANL-PC0EX5K3,WmiPrvSE.exe,7000,Services,0,"15,936 K",Unknown,NT AUTHORITY\SYSTEM,0:00:49,N/A
